Id;Name;MakeId;OriginalId
60000401;Rocky;60;401
60000999;Unknown (DAIHATSU);60;999
61000031;827;61;31
61000398;Other (automobile);61;398
61000399;Unknown (automobile);61;399
62000401;Discovery (For 2017 on, see model 425);62;401
62000402;Defender;62;402
62000403;"Freelander (2004 on; see 422 for 2002-03.)";62;403
62000404;Range Rover Evoque;62;404
62000405;Discovery Sport;62;405
62000421;Range Rover;62;421
62000422;"Freelander (2002-03 only; see 403 for 2004 on)";62;422
62000423;LR3/LR4;62;423
62000424;LR2;62;424
62000425;Discovery (For model years 1994-2004, see model 401);62;425
62000426;Velar;62;426
62000427;Defender;62;427
62000498;Other (light truck);62;498
62000499;Unknown (light truck);62;499
63000031;Sephia;63;31
63000032;Rio/Rio5;63;32
63000033;Spectra/Spectra5;63;33
63000034;Optima;63;34
63000035;Amanti;63;35
63000036;Rondo;63;36
63000037;Soul;63;37
63000038;Forte;63;38
63000039;Cadenza;63;39
63000040;K900;63;40
63000041;Stinger;63;41
63000398;Other (automobile);63;398
63000399;Unknown (automobile);63;399
63000401;Sportage;63;401
63000402;Sorento;63;402
63000403;Niro;63;403
63000421;Borrego;63;421
63000422;Telluride;63;422
63000441;Sedona;63;441
63000498;Other (Light Truck);63;498
63000499;Unknown (light truck);63;499
63000999;Unknown (KIA);63;999
64000031;Lanos;64;31
64000032;Nubira;64;32
64000033;Leganza;64;33
64000398;Other (automobile);64;398
64000399;Unknown (automobile);64;399
65000031;Fortwo;65;31
65000398;Other (automobile);65;398
65000399;Unknown (automobile);65;399
67000031;xB (2012 on.  See Toyota for 2004-2011);67;31
67000032;tC (2012 on.  See Toyota for 2005-2011);67;32
67000033;xD (2012 on.  See Toyota for 2007-2011);67;33
67000034;iQ (2012 on.  See Toyota for 2010-2011);67;34
67000035;FR-S;67;35
67000036;iA;67;36
67000037;iM;67;37
67000398;Other (automobile);67;398
67000399;Unknown (automobile);67;399
69000031;Aston Martin;69;31
69000032;Bricklin;69;32
69000033;Citroen;69;33
69000034;DeLorean;69;34
69000035;Ferrari;69;35
69000036;Hillman;69;36
69000037;Jensen;69;37
69000038;Lamborghini;69;38
69000039;Lotus;69;39
69000040;Maserati;69;40
69000041;Morris;69;41
69000042;Rolls Royce/Bentley;69;42
69000044;Simca;69;44
69000045;Sunbeam;69;45
69000046;TVR;69;46
48000046;BRZ;48;46
48000047;"WRX (2015 on; see 038 for prior to 2015.)";48;47
48000398;Other (automobile);48;398
48000399;Unknown (automobile);48;399
48000401;Forester;48;401
48000402;B9 Tribeca;48;402
48000403;XV Crosstrek;48;403
48000421;Ascent;48;421
48000498;Other (light truck);48;498
48000499;Unknown (light truck);48;499
48000999;Unknown (SUBARU);48;999
49000031;Corona;49;31
49000032;Corolla;49;32
49000033;Celica;49;33
49000034;Supra;49;34
49000035;Cressida;49;35
49000036;Crown;49;36
69000048;Desta;69;48
69000049;Reliant;69;49
69000052;Bertone;69;52
69000053;Lada;69;53
69000054;Mini-Cooper;69;54
69000055;"Morgan (2003 on; Prior to 2003 see 398)";69;55
69000056;Maybach;69;56
69000057;Spyker;69;57
69000058;Koenigsegg;69;58
69000061;Mahindra;69;61
69000062;Caterham;69;62
69000063;McLaren;69;63
69000064;Bugatti;69;64
69000398;Other (automobile);69;398
69000399;Unknown (automobile);69;399
70000701;0-50cc;70;701
70000702;51-124cc;70;702
70000703;125-349cc;70;703
70000704;350-449cc;70;704
70000705;450-749cc;70;705
70000706;750cc or greater;70;706
70000709;Unknown cc;70;709
71000701;0-50cc;71;701
71000702;51-124cc;71;702
71000703;125-349cc;71;703
71000704;350-449cc;71;704
71000705;450-749cc;71;705
71000706;750cc or greater;71;706
71000709;Unknown cc;71;709
72000701;0-50cc;72;701
72000702;51-124cc;72;702
72000703;125-349cc;72;703
72000704;350-449cc;72;704
72000705;450-749cc;72;705
72000706;750cc or greater;72;706
72000707;Electric Motorcycle;72;707
72000709;Unknown cc;72;709
73000701;0-50cc;73;701
73000702;51-124cc;73;702
73000703;125-349cc;73;703
73000704;350-449cc;73;704
73000705;450-749cc;73;705
73000706;750cc or greater;73;706
73000709;Unknown cc;73;709
73000731;0-50cc (ATV);73;731
73000732;51-124cc (ATV);73;732
73000733;125-349cc (ATV);73;733
73000734;350cc or greater (ATV);73;734
73000739;Unknown cc (ATV);73;739
73000998;Other (Vehicle);73;998
74000704;350-449cc;74;704
74000705;450-749cc;74;705
74000706;750cc or greater;74;706
74000709;Unknown cc;74;709
75000704;350-449cc;75;704
75000705;450-749cc;75;705
75000706;750cc or greater;75;706
75000709;Unknown cc;75;709
76000701;0-50cc;76;701
76000702;51-124cc;76;702
76000703;125-349cc;76;703
76000704;350-449cc;76;704
76000705;450-749cc;76;705
76000706;750cc or greater;76;706
76000709;Unknown cc;76;709
76000731;0-50cc (ATV);76;731
76000732;51-124cc (ATV);76;732
76000733;125-349cc (ATV);76;733
76000734;350cc or greater (ATV);76;734
76000739;Unknown cc (ATV);76;739
76000998;Other (Vehicle);76;998
77000706;750cc or greater;77;706
77000707;Electric Motorcycle;77;707
77000709;Unknown cc;77;709
77000998;Other (Vehicle);77;998
80000850;Motor Home;80;850
80000881;Medium/Heavy – CBE;80;881
80000882;Medium/Heavy - COE low entry;80;882
80000883;Medium/Heavy - COE high entry;80;883
80000884;Medium/Heavy – Unknown engine location;80;884
80000890;Medium/Heavy – COE entry position unknown;80;890
80000898;Other (medium/heavy truck);80;898
80000981;Bus**: Conventional (Engine out front);80;981
49000037;Carina;49;37
49000038;Tercel;49;38
49000039;Starlet;49;39
49000040;Camry;49;40
49000041;MR-2/MR Spyder;49;41
49000042;Paseo;49;42
49000043;Avalon;49;43
49000044;Solara;49;44
49000045;ECHO;49;45
49000046;Prius *;49;46
49000047;Matrix;49;47
49000048;Scion xA;49;48
49000049;Scion xB (2004-2011 only.  See Scion for 2012 on.);49;49
49000050;Scion tC (2005-2011 only.  See Scion for 2012 on.);49;50
49000051;Yaris;49;51
49000052;Scion xD (2007-2011 only.  See Scion for 2012 on.);49;52
49000053;Venza;49;53
49000054;Scion iQ (2010-2011 only.  See Scion for 2012 on.);49;54
49000055;Mirai;49;55
49000056;86;49;56
49000057;GR Supra;49;57
49000398;Other (automobile);49;398
49000399;Unknown (automobile);49;399
49000401;4-Runner;49;401
49000402;RAV4 *;49;402
49000403;Highlander;49;403
49000404;FJ Cruiser;49;404
49000405;C-HR;49;405
49000421;Land Cruiser;49;421
49000422;Sequoia;49;422
49000441;Minivan (1984-90)/ Previa (1991 on);49;441
49000442;Sienna;49;442
49000471;Pickup;49;471
49000472;Tacoma;49;472
49000481;T-100;49;481
49000482;Tundra;49;482
49000498;Other (light truck);49;498
49000499;Unknown (light truck);49;499
49000999;Unknown (TOYOTA);49;999
50000031;Spitfire;50;31
50000032;GT-6;50;32
50000033;TR4;50;33
50000034;TR6;50;34
50000035;TR7/TR8;50;35
50000036;Herald;50;36
50000037;Stag;50;37
50000398;Other (automobile);50;398
50000399;Unknown (automobile);50;399
50000701;0-50cc;50;701
50000702;51-124cc;50;702
50000703;125-349cc;50;703
50000704;350-449cc;50;704
50000705;450-749cc;50;705
50000706;750cc or greater;50;706
50000709;Unknown cc;50;709
50000799;Unknown (motored cycle);50;799
50000999;Unknown (TRIUMPH);50;999
51000031;122;51;31
51000032;140/142/144/145 *;51;32
51000033;164;51;33
51000034;240 series*/DL/GL/GLT;51;34
51000035;260 series/GLE;51;35
51000036;1800;51;36
51000037;PV544;51;37
51000038;760/780;51;38
51000039;740;51;39
51000040;940;51;40
51000041;960;51;41
51000042;850;51;42
51000043;70 Series (For XC70 for 2014 on, use model code 402);51;43
51000044;90 Series;51;44
51000045;80 Series;51;45
51000046;40 Series;51;46
51000047;60 Series;51;47
51000048;V50;51;48
51000049;C30;51;49
51000050;XC60 (For 2008-2018 only.  For model years 2019 on, see 51-404.);51;50
51000051;V60;51;51
51000052;V90;51;52
51000053;S90;51;53
51000398;Other (automobile);51;398
